Live,Symbol,Percentage,Initial_Margin,Maintenance,Hedge,Margin_Calculation,Profit_Calculation,Trade,Comment
Live - 1,NOKSEK, , , , , , , ,Symbol ignored: *
Live - 1,USDDKK, , , , , , , ,Symbol ignored: *
Live - 1,USDHUF, , , , , , , ,Symbol ignored: *
Live - 1,USDMXN, , , , , , , ,Symbol ignored: *
Live - 1,USDNOK, , , , , , , ,Symbol ignored: *
Live - 1,USDPLN, , , , , , , ,Symbol ignored: *
Live - 1,USDSEK, , , , , , , ,Symbol ignored: *
Live - 1,USDZAR, , , , , , , ,Symbol ignored: *
Live - 1,.AUS200, , , , , , , ,Symbol ignored: *
Live - 1,.DE30, , , , , , , ,Symbol ignored: *
Live - 1,.ES35, , , , , , , ,Symbol ignored: *
Live - 1,.UK100, , , , , , , ,Symbol ignored: *
Live - 1,.F40, , , , , , , ,Symbol ignored: *
Live - 1,.HK50, , , , , , , ,Symbol ignored: *
Live - 1,.JP225, , , , , , , ,Symbol ignored: *
Live - 1,.US30, , , , , , , ,Symbol ignored: *
Live - 1,.STOXX50, , , , , , , ,Symbol ignored: *
Live - 1,.US500, , , , , , , ,Symbol ignored: *
Live - 1,.US100, , , , , , , ,Symbol ignored: *
Live - 1,.USOil, , , , , , , ,Symbol ignored: *
Live - 1,.UKOil, , , , , , , ,Symbol ignored: *
Live - 1,USDX, , , , , , , ,Symbol ignored: *
Live - 1,.AUS200q, , , , , , , ,Symbol ignored: *
Live - 1,.US30q, , , , , , , ,Symbol ignored: *
Live - 1,.DE30q, , , , , , , ,Symbol ignored: *
Live - 1,.ES35q, , , , , , , ,Symbol ignored: *
Live - 1,.HK50q, , , , , , , ,Symbol ignored: *
Live - 1,.F40q, , , , , , , ,Symbol ignored: *
Live - 1,.STOXX50q, , , , , , , ,Symbol ignored: *
Live - 1,.JP225q, , , , , , , ,Symbol ignored: *
Live - 1,.UK100q, , , , , , , ,Symbol ignored: *
Live - 1,.US100q, , , , , , , ,Symbol ignored: *
Live - 1,.US500q, , , , , , , ,Symbol ignored: *
Live - 1,.USOilq, , , , , , , ,Symbol ignored: *
Live - 1,.UKOilq, , , , , , , ,Symbol ignored: *
Live - 1,.A50, , , , , , , ,Symbol ignored: *
Live - 1,.A50q, , , , , , , ,Symbol ignored: *
Live - 1,EURTRYc, , , , , , , ,Symbol ignored: *
Live - 1,USDTRYc, , , , , , , ,Symbol ignored: *
Live - 1,USDCNHc, , , , , , , ,Symbol ignored: *
Live - 1,USDZARc, , , , , , , ,Symbol ignored: *
Live - 1,USDMXNc, , , , , , , ,Symbol ignored: *
Live - 1,USDRUBc, , , , , , , ,Symbol ignored: *
Live - 1,EURTRYq, , , , , , , ,Symbol ignored: *
Live - 1,USDMXNq, , , , , , , ,Symbol ignored: *
Live - 1,USDTRYq, , , , , , , ,Symbol ignored: *
Live - 1,USDZARq, , , , , , , ,Symbol ignored: *
Live - 1,USDRUBq, , , , , , , ,Symbol ignored: *
Live - 1,USDCNHq, , , , , , , ,Symbol ignored: *
Live - 1,GBPNZDq, , , , , , , ,Symbol ignored: *
Live - 1,NZDCADq, , , , , , , ,Symbol ignored: *
Live - 1,AUDCADr, , , , , , , ,Symbol ignored: *
Live - 1,CADJPYr, , , , , , , ,Symbol ignored: *
Live - 1,EURCHFr, , , , , , , ,Symbol ignored: *
Live - 1,EURUSDr, , , , , , , ,Symbol ignored: *
Live - 1,XAGUSDr, , , , , , , ,Symbol ignored: *
Live - 1,USDXr, , , , , , , ,Symbol ignored: *
Live - 1,XAUUSDr, , , , , , , ,Symbol ignored: *
Live - 1,XAUHKD, , , , , , , ,Symbol ignored: *
Live - 1,USDHKDr, , , , , , , ,Symbol ignored: *
Live - 1,#UKOil, , , , , , , ,Symbol ignored: *
Live - 1,#USOil, , , , , , , ,Symbol ignored: *
Live - 1,EURHKDq, , , , , , , ,Symbol ignored: *
Live - 1,USDHKDq, , , , , , , ,Symbol ignored: *
Live - 1,AUDUSDm, , , , , , , ,Symbol ignored: *
Live - 1,AUDCADm, , , , , , , ,Symbol ignored: *
Live - 1,AUDCHFm, , , , , , , ,Symbol ignored: *
Live - 1,AUDJPYm, , , , , , , ,Symbol ignored: *
Live - 1,AUDNZDm, , , , , , , ,Symbol ignored: *
Live - 1,CADCHFm, , , , , , , ,Symbol ignored: *
Live - 1,CHFJPYm, , , , , , , ,Symbol ignored: *
Live - 1,CADJPYm, , , , , , , ,Symbol ignored: *
Live - 1,EURAUDm, , , , , , , ,Symbol ignored: *
Live - 1,EURCADm, , , , , , , ,Symbol ignored: *
Live - 1,EURCHFm, , , , , , , ,Symbol ignored: *
Live - 1,EURGBPm, , , , , , , ,Symbol ignored: *
